Law ID,State,State Postal Abbreviation,Type of Law,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Month,Effective Date Day,Effective Date Year,Statutory Citation,Content,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Confirmation Code
NJ1002,New Jersey,NJ,Background checks for permits to purchase - handguns,Restrictive,Implement,1/1/1970,See additional notes and comments about this date,1,1,1970,"N.J. Stat. Ann. § 2C:58-3b, 3e","b. Firearms purchaser identification card. No person shall sell, give, transfer, assign or otherwise dispose of nor receive, purchase or otherwise acquire an antique cannon or a rifle or shotgun, other than an antique rifle or shotgun, unless the purchaser, assignee, done, receiver or holder is licensed as a dealer under this chapter or possesses a valid firearms purchaser identification card, and first exhibits said card to the seller, donor, transferor or assignor, and unless the purchaser, assignee, done, receiver or holder signs a written certification, on a form prescribed by the superintendent, which shall indicate that he presently complies with the requirements of subsection c. of this section and shall contain his name, address and firearms purchaser identification card number or dealer's registration number. The said certification shall be retained by the seller, as provided in paragraph (4) of subsection a. of N.J.S.2C:58-2, or, in the case of a person who is not a dealer, it may be filed with the chief of police of the municipality in which he resides or with the superintendent. ... e. Applications. Applications for permits to purchase a handgun and for firearms purchaser identification cards shall be in the form prescribed by the superintendent and shall set forth the name, residence, place of business, age, date of birth, occupation, sex and physical description, including distinguishing physical characteristics, if any, of the applicant, and shall state whether the applicant is a citizen, whether he is an alcoholic, habitual drunkard, drug dependent person as defined in section 2 of P.L.1970, c.226 (C.24:21-2), whether he has ever been confined or committed to a mental institution or hospital for treatment or observation of a mental or psychiatric condition on a temporary, interim or permanent basis, giving the name and location of the institution or hospital and the dates of such confinement or commitment, whether he has been attended, treated or observed by any doctor or psychiatrist or at any hospital or mental institution on an inpatient or outpatient basis for any mental or psychiatric condition, giving the name and location of the doctor, psychiatrist, hospital or institution and the dates of such occurrence, whether he presently or ever has been a member of any organization which advocates or approves the commission of acts of force and violence to overthrow the Government of the United States or of this State, or which seeks to deny others their rights under the Constitution of either the United States or the State of New Jersey, whether he has ever been convicted of a crime or disorderly persons offense, whether the person is subject to a restraining order issued pursuant to the ""Prevention of Domestic Violence Act of 1991,"" P.L.1991, c.261 (C.2C:25-17 et seq.) prohibiting the person from possessing any firearm, and such other information as the superintendent shall deem necessary for the proper enforcement of this chapter. For the purpose of complying with this subsection, the applicant shall waive any statutory or other right of confidentiality relating to institutional confinement.",1,,,Firearm Purchaser ID Card requires a background check. ID card allows unlimited sales of long guns. Couldn't verify dates.,Unclear what year this law was first implemented.,
NJ1003,New Jersey,NJ,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
NJ1004,New Jersey,NJ,Background checks for sales from dealers - handguns,Restrictive,Implement,3/30/1927,,3,30,1927,N.J. Stat. Ann. § 2C:58-3(c),"c. Who may obtain. No person of good character and good repute in the community in which he lives, and who is not subject to any of the disabilities set forth in this section or other sections of this chapter, shall be denied a permit to purchase a handgun or a firearms purchaser identification card, except as hereinafter set forth. No handgun purchase permit or firearms purchaser identification card shall be issued:
     (1) To any person who has been convicted of any crime, or a disorderly persons offense involving an act of domestic violence as defined in section 3 of P.L.1991, c.261 (C.2C:25-19), whether or not armed with or possessing a weapon at the time of such offense;
     (2) To any drug dependent person as defined in section 2 of P.L.1970, c.226 (C.24:21-2), to any person who is confined for a mental disorder to a hospital, mental institution or sanitarium, or to any person who is presently an habitual drunkard;
     (3) To any person who suffers from a physical defect or disease which would make it unsafe for him to handle firearms, to any person who has ever been confined for a mental disorder, or to any alcoholic unless any of the foregoing persons produces a certificate of a medical doctor or psychiatrist licensed in New Jersey, or other satisfactory proof, that he is no longer suffering from that particular disability in such a manner that would interfere with or handicap him in the handling of firearms; to any person who knowingly falsifies any information on the application form for a handgun purchase permit or firearms purchaser identification card;
     (4) To any person under the age of 18 years for a firearms purchaser identification card and to any person under the age of 21 years for a permit to purchase a handgun;
     (5) To any person where the issuance would not be in the interest of the public health, safety or welfare;
     (6) To any person who is subject to a restraining order issued pursuant to the ""Prevention of Domestic Violence Act of 1991,"" P.L.1991, c.261 (C.2C:25-17 et seq.) prohibiting the person from possessing any firearm;
     (7) To any person who as a juvenile was adjudicated delinquent for an offense which, if committed by an adult, would constitute a crime and the offense involved the unlawful use or possession of a weapon, explosive or destructive device or is enumerated in subsection d. of section 2 of P.L.1997, c.117 (C.2C:43-7.2);
     (8) To any person whose firearm is seized pursuant to the ""Prevention of Domestic Violence Act of 1991,"" P.L.1991, c.261 (C.2C:25-17 et seq.) and whose firearm has not been returned; or
     (9) To any person named on the consolidated Terrorist Watchlist maintained by Terrorist Screening Center administered by the Federal Bureau of Investigation.",1,,,,,
NJ1005,New Jersey,NJ,Background checks for sales from dealers - long guns,Restrictive,Implement,8/5/1966,,8,5,1966,N.J. Stat. Ann. § 2C:58-3©,"c. Who may obtain. No person of good character and good repute in the community in which he lives, and who is not subject to any of the disabilities set forth in this section or other sections of this chapter, shall be denied a permit to purchase a handgun or a firearms purchaser identification card, except as hereinafter set forth. No handgun purchase permit or firearms purchaser identification card shall be issued:
     (1) To any person who has been convicted of any crime, or a disorderly persons offense involving an act of domestic violence as defined in section 3 of P.L.1991, c.261 (C.2C:25-19), whether or not armed with or possessing a weapon at the time of such offense;
     (2) To any drug dependent person as defined in section 2 of P.L.1970, c.226 (C.24:21-2), to any person who is confined for a mental disorder to a hospital, mental institution or sanitarium, or to any person who is presently an habitual drunkard;
     (3) To any person who suffers from a physical defect or disease which would make it unsafe for him to handle firearms, to any person who has ever been confined for a mental disorder, or to any alcoholic unless any of the foregoing persons produces a certificate of a medical doctor or psychiatrist licensed in New Jersey, or other satisfactory proof, that he is no longer suffering from that particular disability in such a manner that would interfere with or handicap him in the handling of firearms; to any person who knowingly falsifies any information on the application form for a handgun purchase permit or firearms purchaser identification card;
     (4) To any person under the age of 18 years for a firearms purchaser identification card and to any person under the age of 21 years for a permit to purchase a handgun;
     (5) To any person where the issuance would not be in the interest of the public health, safety or welfare;
     (6) To any person who is subject to a restraining order issued pursuant to the ""Prevention of Domestic Violence Act of 1991,"" P.L.1991, c.261 (C.2C:25-17 et seq.) prohibiting the person from possessing any firearm;
     (7) To any person who as a juvenile was adjudicated delinquent for an offense which, if committed by an adult, would constitute a crime and the offense involved the unlawful use or possession of a weapon, explosive or destructive device or is enumerated in subsection d. of section 2 of P.L.1997, c.117 (C.2C:43-7.2);
     (8) To any person whose firearm is seized pursuant to the ""Prevention of Domestic Violence Act of 1991,"" P.L.1991, c.261 (C.2C:25-17 et seq.) and whose firearm has not been returned; or
     (9) To any person named on the consolidated Terrorist Watchlist maintained by Terrorist Screening Center administered by the Federal Bureau of Investigation.",1,,,,,
NJ1006,New Jersey,NJ,Carrying a concealed weapon (CCW) - may issue,Permissive,Implement,1/1/1924,"Not sure about day + month, so using January 1.",1,1,1924,N.J. Stat. Ann. § 2C:58-4,"c. Investigation and approval. Each application shall in the first instance be submitted to the chief police officer of the municipality in which the applicant resides, or to the superintendent, (1) if the applicant is an employee of an armored car company, or (2) if there is no chief police officer in the municipality where the applicant resides, or (3) if the applicant does not reside in this State. The chief police officer, or the superintendent, as the case may be, shall cause the fingerprints of the applicant to be taken and compared with any and all records maintained by the municipality, the county in which it is located, the State Bureau of Identification and the Federal Bureau of Identification. He shall also determine and record a complete description of each handgun the applicant intends to carry.
No application shall be approved by the chief police officer or the superintendent unless the applicant demonstrates that he is not subject to any of the disabilities set forth in 2C:58-3c., that he is thoroughly familiar with the safe handling and use of handguns, and that he has a justifiable need to carry a handgun. If the application is not approved by the chief police officer or the superintendent within 60 days of filing, it shall be deemed to have been approved, unless the applicant agrees to an extension of time in writing.",1,,,"See Siccardi v. State, 59 N.J. 545, 284 A.2d 533, 1971 N.J. LEXIS 215 (N.J. 1971).",,
NJ1007,New Jersey,NJ,Castle Doctrine,Permissive,Implement,9/1/1979,,9,1,1979,N.J. Stat Ann. 2C:3-6(3),"The use of deadly force is not justifiable under subsection a. of this section unless the actor reasonably believes that:
(a) The person against whom the force is used is attempting to dispossess him of his dwelling otherwise than under a claim of right to its possession; or
(b) The person against whom the force is used is attempting to commit or consummate arson, burglary, robbery or other criminal theft or property destruction; 
",1,,,,,
NJ1008,New Jersey,NJ,Child access law,,,,,,,,,No CAP law,1,,,,,
NJ1009,New Jersey,NJ,Child access laws - negligent storage (CAP),Restrictive,Implement,1/17/1992,,1,17,1992,N.J. Stat. Ann. § 2C:58-15,"a. A person who knows or reasonably should know that a minor is likely to gain access to a loaded firearm at a premises under the person's control commits a disorderly persons offense if a minor gains access to the firearm, unless the person:
 
   (1) Stores the firearm in a securely locked box or container;
 
   (2) Stores the firearm in a location which a reasonable person would believe to be secure; or
 
   (3) Secures the firearm with a trigger lock.
 
   b. This section shall not apply:
 
   (1) To activities authorized by section 14 of P.L.1979, c. 179 (C. 2C:58-6.1), concerning the lawful use of a firearm by a minor; or
 
   (2) Under circumstances where a minor obtained a firearm as a result of an unlawful entry by any person.
 
   c. As used in this act, ""minor"" means a person under the age of 16.",,,,,,
NJ1010,New Jersey,NJ,Dealer license - handguns and long guns,Restrictive,Implement,3/30/1927,,3,30,1927,N.J. Rev. Stat. § 2C:58-2(a) (1979),"a. Licensing of retail dealers and their employees. No retail dealer of firearms nor any employee of a retail dealer shall sell or expose for sale, or possess with the intent of selling, any firearm unless licensed to do so as hereinafter provided. The superintendent shall prescribe standards and qualifications for retail dealers of firearms and their employees for the protection of the public safety, health and welfare. [...] Each license shall be valid for a period of 3 years from the date of issuance, and shall authorize the holder to sell firearms at retail in a specified municipality. [...] No license shall be granted to any retail dealer under the age of 21 years or to any employee of a retail dealer under the age of 18 or to any person who could not qualify to obtain a permit to purchase a handgun or a firearms purchaser identification card, or to any corporation, partnership or other business organization in which the actual or equitable controlling interest is held or possessed by such an ineligible person. [...]",1,,,,,
NJ1011,New Jersey,NJ,Firearm Ban - Assault Weapon Ban,Restrictive,Implement,5/30/1990,,5,30,1990,N.J. Stat. Ann. § 2C:39-5.,"f. Assault firearms. Any person who knowingly has in his possession an assault firearm is guilty of a crime of the second
degree except if the assault firearm is licensed pursuant to N.J.S.2C:58-5; registered pursuant to section 11 of P.L.1990,
c. 32 (C.2C:58-12); or rendered inoperable pursuant to section 12 of P.L.1990, c. 32 (C.2C:58-13).",,,,List of banned weapons in N.J. Stat. Ann. § 2C:39-1.,,
NJ1012,New Jersey,NJ,Maximum waiting period (handgun permits),Restrictive,Implement,1/1/1970,See caveats and ambiguities about this date,1,1,1970,N.J. Stat. Ann. 2C:58-3F (1991),"The  application for the permit to purchase a handgun together with a fee of $ 2.00, or the application for the firearms purchaser identification card together with a fee of $ 5.00, shall be delivered or forwarded to the licensing authority who shall investigate the same and, unless good cause for the denial thereof appears, shall grant the permit or the identification card, or both, if application has been made therefor, within 30 days from the date of receipt of the application for residents of this State and within 45 days for nonresident applicants. A permit to purchase a handgun shall be valid for a period of 90 days from the date of issuance and may be renewed by the issuing authority for good cause for an additional 90 days. A firearms purchaser identification card shall be valid until such time as the holder becomes subject to any of the disabilities set forth in subsection c. of this section, whereupon the card shall be void and shall be returned within five days by the holder to the superintendent, who shall then advise the licensing authority. Failure of the holder to return the firearms purchaser identification card to the superintendent within the said five days shall be an offense under section 2C:39-10a. Any firearms purchaser identification card may be revoked by the Superior Court of the county wherein the card was issued, after hearing upon notice, upon a finding that the holder thereof no longer qualifies for the issuance of such permit. The county prosecutor of any county, the chief police officer of any municipality or any citizen may apply to such court at any time for the revocation of such""",,,,,Unclear what year this law was first implemented.,
NJ1013,New Jersey,NJ,Minimum age for youth possession - handguns,Restrictive,Modify,1/1/2001,,1,1,2001,N.J. Stat. Ann. § 2C:58-6.1,"§ 2C:58-6.1.  Possession of firearms by minors; exceptions   b. No person under the age of 18 years shall possess, carry, fire or use a firearm except as provided under paragraphs (1), (2), (3) and (4) of this subsection; and, unless authorized in connection with the performance of official duties under the provisions of N.J.S.2C:39-6, no person under the age of 21 years shall possess, carry, fire or use a handgun except under the following circumstances: [exceptions 1-4 include military drill, target shooting, etc.]",,21,,,,
NJ1014,New Jersey,NJ,Minimum age for youth possession - handguns and long guns,Restrictive,Implement,1/1/1969,"Not sure about day + month, so using January 1.",1,1,1969,N.J. Stat. Ann. § 2C:58-6.1,"2C:58-6.1. Possession of firearms by minors; exceptions
a. No person under the age of 18 years shall purchase, barter or otherwise acquire a firearm.
b. No person under the age of 18 years shall possess, carry, fire or use a firearm except under the following
circumstances:
(1) In the actual presence or under the direct supervision of his father, mother or guardian, or some other person who
holds a permit to carry a handgun or a firearms purchaser identification card, as the case may be; or
(2) For the purpose of military drill under the auspices of a legally recognized military organization and under
competent supervision; or
(3) For the purpose of competition or target practice in and upon a firing range approved by the governing body of the
municipality in which the range is located or the National Rifle Association and which is under competent supervision
at the time of such supervision or target practice; or
(4) For the purpose of hunting during the regularly designated hunting season, provided that he possesses a valid
hunting license and has successfully completed a hunter's safety course taught by a qualified instructor or conservation
officer and possesses a certificate indicating the successful completion of such a course.
c. Notwithstanding any other provisions of law, any person under the age of 18 years who violates any provision of
this section shall be adjudged delinquent.",1,18,,,,
NJ1015,New Jersey,NJ,Minimum purchase and sale age - handguns,Restrictive,Modify,9/1/1979,,9,1,1979,N.J. Stat. Ann. § 2C:58-6.1 (1979),"No person under the age of 18 years shall purchase, barter or otherwise acquire a firearm and no person under the age of 21 years shall purchase, barter or otherwise acquire a handgun, unless the person is authorized to possess the handgun in connection with the performance of official duties under the provisions of N.J.S.2C:39-6.",,21,,Deals with purchase of firearms by minors. See N.J. Stat. Ann. § 2C:39-10e for law dealing with sale.,,
NJ1016,New Jersey,NJ,Minimum purchase and sale age - handguns,Restrictive,Modify,1/1/2001,,1,1,2001,N.J. Stat. Ann. § 2C:58-6.1(a),"Possession of firearms by minors; exceptions

a. No person under the age of 18 years shall purchase, barter or otherwise acquire a firearm and no person under the age of 21 years shall purchase, barter or otherwise acquire a handgun, unless the person is authorized to possess the handgun in connection with the performance of official duties under the provisions of N.J.S.2C:39-6.
",,21,,,,
NJ1017,New Jersey,NJ,Minimum purchase and sale age - handguns and long guns,Restrictive,Implement,1/1/1969,"Not sure about day + month, so using January 1.",1,1,1969,N.J. Stat. Ann. § 2C:39-10e,"N.J. Stat. Ann. § 2C:39-10e: Any person who knowingly sells, gives, transfers, assigns or otherwise disposes of a firearm to a person who is under the age of 18 years, except as permitted in section 14 of P.L.1979, c.179 (C.2C:58-6.1), is guilty of a crime of the second degree. Notwithstanding any other provision of law to the contrary, the sentence imposed for a conviction under this subsection shall include a mandatory minimum five-year term of imprisonment, during which the defendant shall be ineligible for parole.",1,18,,Criminalizes sale of firearms to minors. See N.J. Stat. Ann. § 2C:58-6.1 for law dealing with purchase.,,
NJ1018,New Jersey,NJ,One gun per month - handguns,Restrictive,Implement,5/1/2009,,5,1,2009,"N.J. Stat. Ann. § 2C:58-2a(7), N.J. Stat. Ann. § 2C:58-3i","7) A dealer shall not knowingly deliver more than one handgun to any person within any 30-day period. This
limitation shall not apply to:
(a) a federal, State, or local law enforcement officer or agency purchasing handguns for use by officers in the actual performance of their law enforcement duties;
(b) a collector of handguns as curios or relics as defined in Title 18, United States Code, section 921(a)(13) who has in his possession a valid Collector of Curios and Relics License issued by the federal Bureau of Alcohol, Tobacco, Firearms and Explosives;
(c) transfers of handguns among licensed retail dealers, registered wholesale dealers and registered manufacturers;
(d) any transaction where the person has purchased a handgun from a licensed retail dealer and has returned that handgun to the dealer in exchange for another handgun within 30 days of the original transaction, provided the retail dealer reports the exchange transaction to the superintendent; or 
(e) any transaction where the superintendent issues an exemption from the prohibition in this subsection pursuant to the provisions of section 4 of P.L.2009, c.186 (C.2C:58-3.4).                                                                                                              § 2C:58-3 i. Restriction on number of firearms person may purchase. Only one handgun shall be purchased or delivered on each permit and no more than one handgun shall be purchased within any 30-day period, but this limitation shall not apply to:",,,,,,
NJ1019,New Jersey,NJ,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
NJ1020,New Jersey,NJ,Open Carry license required - handguns,Permissive,Implement,8/5/1966,,8,5,1966,N.J. Stat. Ann. § 29:58-4 ; N.J. Stat. Ann. § 39:5 c),"N.J. Stat. Ann. § 29:58-4. Any person who holds a valid permit to carry a handgun issued pursuant to this section shall be authorized to carry a handgun in all parts of this State, except as prohibited by section 2C:39-5e.                                                                                                                      N.J. Stat. Ann. § 39:5(c) Rifles and shotguns. (1) Any person who knowingly has in his possession any rifle or shotgun without having first obtained a firearms purchaser identification card in accordance with the provisions of N.J.S.2C:58-3, is guilty of a crime of the third degree.",1,,,See L.1966 c. 60 § 2A-151-41-44.,,
NJ1021,New Jersey,NJ,Permit to Purchase - handguns and long guns,Restrictive,Implement,1/1/1970,See caveats and ambiguities about this date,1,1,1970,N.J. Stat. Ann. § 2C:58-3,"A. PERMIT TO PURCHASE A HANDGUN. No person shall sell, give, transfer, assign or otherwise dispose of, nor receive, purchase, or otherwise acquire a handgun unless the purchaser, assignee, done, receiver or holder is licensed as a dealer under this chapter or has first secured a permit to purchase a handgun as provided by this section. 
B. FIREARMS PURCHASER IDENTIFICATION CARD. No person shall sell, give, transfer, assign or otherwise  dispose of nor receive, purchase or otherwise acquire an antique cannon or a rifle or shotgun, other than an antique rifle or shotgun, unless the purchaser, assignee, done, receiver or holder is licensed as a dealer under this chapter or possesses a valid firearms purchaser identification card, and first exhibits said card to the seller, donor, transferor or assignor, and unless the purchaser, assignee, done, receiver or holder signs a written certification, on a form prescribed
by the superintendent, which shall indicate that he presently complies with the requirements of subsection c. of this section and shall contain his name, address and firearms purchaser identification card number or dealer's registration number. The said certification shall be retained by the seller, as provided in section 2C:58-2a., or, in the case of a person who is not a dealer, it may be filed with the chief of police of the municipality in which he resides or with the superintendent.",,,,"Permit to purchase handgun is for 90 days; for long guns, it is indefinite (as long as the person still qualifies).",Unclear what year this law was first implemented.,
NJ1022,New Jersey,NJ,Registration - handguns,Restrictive,Implement,1/1/1970,See caveats and ambiguities about this date,1,1,1970,"N.J. Stat. Ann. §§ 2C:58-2, 2C:58-3","2C:58-2b. Records. Every person engaged in the retail business of selling, leasing or otherwise transferring a handgun, as a retail dealer or otherwise, shall keep a register in which shall be entered the time of the sale, lease or other transfer, the
date thereof, the name, age, date of birth, complexion, occupation, residence and a physical description including distinguishing physical characteristics, if any, of the purchaser, lessee or transferee, the name and permanent home
address of the person making the sale, lease or transfer, the place of the transaction, and the make, model, manufacturer's number, caliber and other marks of identification on such handgun and such other information as the superintendent shall deem necessary for the proper enforcement of this chapter. The register shall be retained by the dealer and shall be made available at all reasonable hours for inspection by any law enforcement officer. 
2C:58-3h. Form of permit; quadruplicate; disposition of copies. The permit shall be in the form prescribed by the superintendent and shall be issued to the applicant in quadruplicate. Prior to the time he receives the handgun from the seller, the applicant shall deliver to the seller the permit in quadruplicate and the seller shall complete all of the information required on the form. Within five days of the date of the sale, the seller shall forward the original copy to the superintendent and the second copy to the chief of police of the municipality in which the purchaser resides, except that in a municipality having no chief of police, such copy shall be forwarded to the superintendent. The third copy shall then be returned to the purchaser with the pistol or revolver and the fourth copy shall be kept by the seller as a permanent record.",1,,,,Unclear what year this law was first implemented.,
NJ1023,New Jersey,NJ,Registration - long guns,,,,,,,,,No law requiring registration of long guns,1,,,,,
NM1001,New Mexico,NM,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
NM1002,New Mexico,NM,Background checks for sales from dealers - handguns and long guns,,,,,,,,,No law requiring background checks for sales from dealers of handguns or long guns,1,,,,,
NM1003,New Mexico,NM,Carrying a concealed weapon (CCW) - prohibited,Restrictive,Implement,1/1/1953,"Not sure about day + month, so using January 1.",1,1,1953,N.M. Stat. Ann. § 30-7-2,"§ 30-7-2.  Unlawful carrying of a deadly weapon
   A. Unlawful carrying of a deadly weapon consists of carrying a concealed loaded firearm or any other type of deadly weapon anywhere, except in the following cases:
   (1) in the person's residence or on real property belonging to him as owner, lessee, tenant or licensee;
   (2) in a private automobile or other private means of conveyance, for lawful protection of the person's or another's person or property;
   (3) by a peace officer in accordance with the policies of his law enforcement agency who is certified pursuant to the Law Enforcement Training Act [29-7-1 to 29-7-11 NMSA 1978]; or
   (4) by a peace officer in accordance with the policies of his law enforcement agency who is employed on a temporary basis by that agency and who has successfully completed a course of firearms instruction prescribed by the New Mexico law enforcement academy or provided by a certified firearms instructor who is employed on a permanent basis by a law enforcement agency.
B. Nothing in this section shall be construed to prevent the carrying of any unloaded firearm.",,,,,,
NM1004,New Mexico,NM,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,1/1/2004,,1,1,2004,N.M. Stat. Ann. § 29-19-4,"
A. The department shall issue a concealed handgun license to an applicant who:
     (1) is a citizen of the United States;
     (2) is a resident of New Mexico or is a member of the armed forces whose permanent duty station is located in New Mexico or is a dependent of such a member;
     (3) is twenty-one years of age or older;
     (4) is not a fugitive from justice;
     (5) has not been convicted of a felony in New Mexico or any other state or pursuant to the laws of the United States or any other jurisdiction;
     (6) is not currently under indictment for a felony criminal offense in New Mexico or any other state or pursuant to the laws of the United States or any other jurisdiction;
     (7) is not otherwise prohibited by federal law or the law of any other jurisdiction from purchasing or possessing a firearm;
     (8) has not been adjudicated mentally incompetent or committed to a mental institution;
     (9) is not addicted to alcohol or controlled substances; and
     (10) has satisfactorily completed a firearms training course approved by the department for the category and the largest caliber of handgun that the applicant wants to be licensed to carry as a concealed handgun.
B. The department shall deny a concealed handgun license to an applicant who has:
     (1) received a conditional discharge, a diversion or a deferment or has been convicted of, pled guilty to or entered a plea of nolo contendere to a misdemeanor offense involving a crime of violence within ten years immediately preceding the application;
     (2) been convicted of a misdemeanor offense involving driving while under the influence of intoxicating liquor or drugs within five years immediately preceding the application for a concealed handgun license;
     (3) been convicted of a misdemeanor offense involving the possession or abuse of a controlled substance within ten years immediately preceding the application; or
     (4) been convicted of a misdemeanor offense involving assault, battery or battery against a household member.",1,,,,"According to documentation relied upon by Aneja, Donohue, and Zhang (2013), ""Concealed carry banned until 2001 law, which was supposed to give out permits January 1st, 2002 (Law 2001, volume 2, page 1889). This bill never went into effect and was later struck down by the state Supreme Court. The bill allowed counties to opt-out of allowing concealed-carry weapons in their province, which is why it isn't counted as RTC earlier. A later court challenge was overturned shortly after the law was scheduled to take effect, but newspapers describing the decision noted that applications were pending for this time period and noted that the law took effect January 1st.""""",
NM1005,New Mexico,NM,Child access law,,,,,,,,,No CAP law,1,,,,,
NM1006,New Mexico,NM,Dealer license - long guns,,,,,,,,,No law requiring dealer license for long guns,1,,,,,
NM1007,New Mexico,NM,Minimum age for youth possession - handguns,Restrictive,Implement,7/1/1994,,7,1,1994,N.M. Stat. Ann. § 30-7-2.2,"A. Unlawful possession of a handgun by a person consists of a person knowingly having a handgun in his possession or knowingly transporting a handgun, except when the person is:
     (1) in attendance at a hunter's safety course or a handgun safety course;
     (2) engaging in the use of a handgun for target shooting at an established range authorized by the governing body of the jurisdiction in which the range is located or in an area where the discharge of a handgun without legal justification is not prohibited by law;
     (3) engaging in an organized competition involving the use of a handgun;
     (4) participating in or practicing for a performance by an organization that has been granted exemption from federal income tax by the United States commissioner of internal revenue as an organization described in Section 501(c)(3) of the United States Internal Revenue Code of 1954 [26 USCS § 501(c)(3)], as amended or renumbered;
     (5) legal hunting or trapping activities;
     (6) traveling, with an unloaded handgun in his possession, to or from an activity described in Paragraph (1), (2), (3), (4) or (5) of this subsection; or
     (7) on real property under the control of the person's parent, grandparent or legal guardian and the person is being supervised by his parent, grandparent or legal guardian.
B. A person who commits unlawful possession of a handgun by a person is guilty of a misdemeanor.
C. As used in this section:
     (1) ""person"" means an individual who is less than nineteen years old; and
     (2) ""handgun"" means a loaded or unloaded pistol, revolver or firearm which will or is designed to or may readily be converted to expel a projectile by the action of an explosion and the barrel length of which, not including a revolving, detachable or magazine breech, does not exceed twelve inches.",,19,,,,
NM1008,New Mexico,NM,Minimum age for youth possession - handguns and long guns,,,,,,,,,No law imposing minimum age for youth possession of handguns or long guns,1,,,,,H
NM1009,New Mexico,NM,Minimum purchase and sale age - handguns and long guns,,,,,,,,,No law imposing minimum purchase and sale age for handguns or long guns,1,,,,,H
NM1010,New Mexico,NM,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
NM1011,New Mexico,NM,Open Carry permitted,,,,,,,,,No law restricting Open Carry,1,,,,,
NM1012,New Mexico,NM,Registration - handguns and long guns,,,,,,,,,No law requiring registration of handguns or long guns,1,,,,,
NM1013,New Mexico,NM,Waiting period - handguns and long guns,,,,,,,,,No law imposing waiting period for purchase of handguns or long guns,1,,,,,G
NY1001,New York,NY,Background checks for permits to purchase - handguns,Restrictive,Implement,7/1/1934,,7,1,1934,N.Y. Penal Law § 400.00,"4. Investigation. Before a license is issued or renewed, there shall be an investigation of all statements required in the application by the duly constituted police authorities of the locality where such application is made, including but not limited to such records as may be accessible to the division of state police or division of criminal justice services pursuant to section 400.02 of this article. For that purpose, the records of the appropriate office of the department of mental hygiene concerning previous or present mental illness of the applicant shall be available for inspection by the investigating officer of the police authority. In order to ascertain any previous criminal record, the investigating officer shall take the fingerprints and physical descriptive data in quadruplicate of each individual by whom the application is signed and verified. Two copies of such fingerprints shall be taken on standard fingerprint cards eight inches square, and one copy may be taken on a card supplied for that purpose by the federal bureau of investigation; provided, however, that in the case of a corporate applicant that has already been issued a dealer in firearms license and seeks to operate a firearm dealership at a second or subsequent location, the original fingerprints on file may be used to ascertain any criminal record in the second or subsequent application unless any of the corporate officers have changed since the prior application, in which case the new corporate officer shall comply with procedures governing an initial application for such license.",1,,,,,
NY1002,New York,NY,Background checks for private sales - handguns,Restrictive,Implement,7/1/1934,,7,1,1934,N.Y. Penal Law § 400.00,"4. Investigation. Before a license is issued or renewed, there shall be an investigation of all statements required in the application by the duly constituted police authorities of the locality where such application is made, including but not limited to such records as may be accessible to the division of state police or division of criminal justice services pursuant to section 400.02 of this article. For that purpose, the records of the appropriate office of the department of mental hygiene concerning previous or present mental illness of the applicant shall be available for inspection by the investigating officer of the police authority. In order to ascertain any previous criminal record, the investigating officer shall take the fingerprints and physical descriptive data in quadruplicate of each individual by whom the application is signed and verified. Two copies of such fingerprints shall be taken on standard fingerprint cards eight inches square, and one copy may be taken on a card supplied for that purpose by the federal bureau of investigation; provided, however, that in the case of a corporate applicant that has already been issued a dealer in firearms license and seeks to operate a firearm dealership at a second or subsequent location, the original fingerprints on file may be used to ascertain any criminal record in the second or subsequent application unless any of the corporate officers have changed since the prior application, in which case the new corporate officer shall comply with procedures governing an initial application for such license.",1,,,,,
NY1003,New York,NY,Background checks for private sales - long guns,,,,,,,,,No law requiring background checks for private sales of long guns,1,,,,,
NY1004,New York,NY,Background Checks for private sales - long guns,Restrictive,Implement,3/16/2013,,3,16,2013,N.Y. Gen. Bus. Law Art. 39-DDD § 898,"§ 898. Private sale or disposal of firearms, rifles and shotguns 
1. In addition to any other requirements pursuant to state and federal law, all sales, exchanges or disposals of firearms, rifles or shotguns shall be conducted in accordance with this section unless such sale, exchange or disposal is conducted by a licensed importer, licensed manufacturer or licensed dealer, as those terms are defined in 18 USC § 922, when such sale, exchange or disposal is conducted pursuant to that person's federal firearms license or such sale, exchange or disposal is between members of an immediate family. For purposes of this section, ""immediate family"" shall mean spouses, domestic partners, children and step-children.
2. Before any sale, exchange or disposal pursuant to this article, a national instant criminal background check must be completed by a dealer who consents to conduct such check, and upon completion of such background check, shall complete a document, the form of which shall be approved by the superintendent of state police, that identifies and confirms that such check was performed.",,,,,,
